Gene,Cell_001,Cell_002,Cell_003,Cell_004,Cell_005,Cell_006,Cell_007,Cell_008,Cell_009,Cell_010,Cell_011,Cell_012,Cell_013,Cell_014,Cell_015,Cell_016,Cell_017,Cell_018,Cell_019,Cell_020,Cell_021,Cell_022,Cell_023,Cell_024,Cell_025,Cell_026,Cell_027,Cell_028,Cell_029,Cell_030,Cell_031,Cell_032,Cell_033,Cell_034,Cell_035,Cell_036,Cell_037,Cell_038,Cell_039,Cell_040,Cell_041,Cell_042,Cell_043,Cell_044,Cell_045,Cell_046,Cell_047,Cell_048,Cell_049,Cell_050,Cell_051,Cell_052,Cell_053,Cell_054,Cell_055,Cell_056,Cell_057,Cell_058,Cell_059,Cell_060,Cell_061,Cell_062,Cell_063,Cell_064,Cell_065,Cell_066,Cell_067,Cell_068,Cell_069,Cell_070,Cell_071,Cell_072,Cell_073,Cell_074,Cell_075,Cell_076,Cell_077,Cell_078,Cell_079,Cell_080,Cell_081,Cell_082,Cell_083,Cell_084,Cell_085,Cell_086,Cell_087,Cell_088,Cell_089,Cell_090,Cell_091,Cell_092,Cell_093,Cell_094,Cell_095,Cell_096,Cell_097,Cell_098,Cell_099,Cell_100,Cell_101,Cell_102,Cell_103,Cell_104,Cell_105,Cell_106,Cell_107,Cell_108,Cell_109,Cell_110,Cell_111,Cell_112,Cell_113,Cell_114,Cell_115,Cell_116,Cell_117,Cell_118,Cell_119,Cell_120
G01,2.774,4.56,5.676,4.708,3.947,1.727,5.491,7.182,6.509,3.293,1.297,6.409,4.531,0.87,4.351,1.946,1.821,2.661,5.598,2.673,3.279,11.149,8.444,4.129,3.475,2.285,1.614,5.344,4.335,4.398,5.351,2.076,3.984,6.032,6.89,7.062,5.61,3.158,4.188,2.28,1.787,5.081,2.921,5.259,2.481,2.54,3.531,3.234,1.001,4.464,6.724,5.01,3.638,5.096,6.706,1.028,4.195,6.194,8.202,9.143,9.929,4.581,4.83,4.955,2.427,4.979,8.527,14.495,2.735,2.997,5.36,6.333,3.353,8.82,2.852,4.037,2.789,5.854,6.013,2.6,2.099,4.77,3.816,1.61,6.644,4.208,5.666,2.666,9.232,5.567,7.272,2.784,2.205,5.968,2.374,5.859,4.58,2.288,3.643,2.712,6.896,2.586,4.163,11.975,11.795,8.713,4.405,6.116,10.336,3.424,2.394,4.542,4.585,2.422,1.671,1.582,5.652,2.144,5.103,4.895
G02,4.499,2.629,3.621,3.689,6.304,1.409,11.367,15.067,4.518,4.136,16.213,7.272,2.303,3.794,3.684,4.716,1.86,3.925,2.764,4.134,1.552,3.841,2.427,6.703,5.938,3.12,1.523,3.357,4.694,4.958,2.098,6.39,2.287,2.65,7.114,2.436,3.548,13.149,2.69,5.073,4.523,4.745,1.579,5.731,4.853,3.415,13.058,1.895,2.647,12.64,7.182,1.154,2.628,3.16,4.267,6.65,1.715,6.407,4.863,3.468,2.655,4.058,3.213,2.648,6.817,2.38,4.266,7.28,2.499,6.377,7.078,1.279,3.533,4.626,7.266,5.543,4.262,2.45,9.961,3.946,6.247,3.278,2.384,3.35,2.167,2.408,4.898,7.058,6.694,2.734,4.53,3.821,8.656,8.075,5.234,6.504,1.55,7.974,2.193,1.773,3.322,3.506,4.313,10.025,2.493,4.53,6.282,3.302,3.94,5.882,8.19,9.883,1.969,3.642,2.046,3.501,4.376,4.62,3.431,4.874
G03,3.456,2.099,3.652,3.545,5.843,6.918,5.034,2.619,2.31,3.176,0.987,5.249,5.289,4.872,2.448,2.383,7.605,4.249,7.294,4.707,9.707,5.211,6.662,3.641,2.037,2.277,7.884,7.83,5.035,2.989,5.811,2.889,11.724,8.335,1.56,5.947,2.437,0.806,10.078,2.76,2.135,2.566,8.484,1.907,1.915,7.976,2.843,5.336,3.643,2.329,1.269,7.018,2.272,3.448,5.354,3.284,3.403,2.387,1.762,5.138,4.173,11.541,5.189,3.357,5.372,4.687,4.468,3.461,5.01,3.739,2.228,13.764,8.034,4.151,3.872,4.004,4.211,5.875,5.403,3.762,3.503,10.534,3.444,4.935,3.822,11.481,2.471,2.813,3.725,3.317,3.629,2.279,2.415,2.805,2.553,2.24,6.799,2.81,7.876,10.643,4.523,10.176,9.414,1.696,3.799,5.827,3.912,6.307,4.251,3.027,3.057,3.751,5.635,4.26,5.579,6.662,5.34,9.017,1.511,1.834
G04,2.894,1.981,2.986,4.863,9.15,4.501,8.516,2.929,2.996,1.663,2.076,5.587,4.854,7.387,1.999,0.783,5.37,6.444,10.323,4.843,5.71,8.199,4.731,6.343,1.795,2.689,2.966,6.353,2.132,3.413,5.846,4.004,11.778,11.913,2.161,5.929,4.93,1.074,9.035,5.125,4.3,2.825,3.915,2.15,3.459,10.187,5.337,3.29,3.171,5.257,1.214,5.468,1.986,4.937,4.678,6.138,1.175,3.0,1.325,5.062,4.13,7.985,3.948,2.889,6.868,3.286,3.021,4.349,5.345,4.512,3.829,7.639,4.838,3.969,4.024,4.842,3.012,2.322,6.597,2.662,4.936,6.589,2.991,5.126,1.641,7.422,3.616,3.621,3.953,4.148,3.703,2.231,3.368,4.558,2.796,1.948,4.352,3.779,6.41,17.016,3.2,7.071,10.383,1.922,1.911,5.256,6.956,5.671,8.438,2.383,3.755,3.999,3.632,5.076,3.371,8.028,5.217,8.55,1.474,4.12
G05,3.29,3.338,4.321,4.137,7.029,4.332,11.62,2.516,3.592,1.011,2.235,7.153,7.456,5.203,1.338,1.021,4.984,4.326,3.798,4.965,2.666,7.015,2.945,5.504,2.207,2.982,1.282,5.095,1.884,5.468,5.211,2.392,10.824,9.623,2.983,4.052,5.767,1.447,5.07,3.562,4.135,2.181,2.106,4.261,6.758,5.496,11.584,2.535,2.613,6.72,2.194,3.821,3.353,5.503,7.78,9.093,1.144,6.966,3.942,3.242,6.85,12.552,4.108,2.334,4.232,3.805,3.082,4.564,3.405,3.105,5.693,2.588,3.034,3.38,4.75,6.095,1.982,2.2,5.49,3.935,4.874,4.176,4.779,2.516,1.51,2.81,4.1,4.291,4.41,8.547,3.23,3.221,3.805,7.935,2.229,2.016,3.654,4.864,5.936,8.664,2.944,9.902,19.4,4.347,2.577,5.229,9.229,9.503,9.608,3.687,3.515,4.499,2.739,3.348,1.966,7.184,6.195,4.954,2.642,6.175
G06,5.748,10.117,5.014,8.328,2.776,2.676,5.115,2.73,11.637,6.338,12.301,1.895,2.064,5.906,2.97,5.093,5.009,2.201,2.966,6.849,2.554,2.298,4.04,3.333,10.109,6.266,5.123,2.377,4.166,4.084,5.876,7.067,1.93,2.007,8.219,4.553,9.039,14.782,1.011,4.723,4.942,5.591,2.097,10.413,2.237,2.874,5.43,3.153,7.098,1.79,13.346,2.586,6.899,2.641,5.394,5.558,5.704,3.538,5.197,2.518,2.691,3.026,2.826,6.304,3.744,5.028,2.151,1.627,3.244,6.413,7.585,2.584,2.875,5.089,2.73,1.88,3.29,4.108,3.7,1.418,7.897,1.608,2.469,3.342,4.429,1.767,8.859,12.118,1.872,2.654,3.598,3.289,8.681,5.567,6.075,4.706,4.045,5.12,4.422,2.417,5.497,3.998,2.055,3.291,7.105,2.422,4.029,2.996,2.757,9.246,3.199,7.92,3.794,3.64,1.93,4.827,2.159,2.678,9.087,6.909
G07,2.939,1.398,3.039,4.033,11.135,2.097,13.658,17.612,3.241,2.624,7.794,7.152,4.431,4.236,3.889,1.793,2.759,5.757,4.342,3.202,2.553,5.556,2.262,6.876,4.039,1.694,1.48,2.896,3.603,4.827,3.509,6.19,3.145,5.481,3.322,3.391,3.674,3.418,5.248,5.891,5.007,4.044,3.37,2.238,4.514,6.466,8.122,1.728,2.288,16.628,5.859,1.747,2.193,4.592,3.387,9.906,0.79,4.957,2.566,5.078,2.952,7.332,3.836,1.767,6.945,1.395,2.469,5.651,3.461,3.852,4.026,1.859,5.093,4.817,10.738,5.453,4.129,2.609,8.66,3.434,8.215,4.248,1.549,3.645,1.819,3.762,2.779,4.682,6.123,2.598,3.798,3.472,5.765,6.443,4.718,5.54,1.33,5.103,2.256,5.257,3.294,3.475,10.713,4.93,2.569,10.475,8.277,4.654,4.492,4.469,6.489,4.527,3.429,5.939,3.309,4.374,8.605,9.749,2.42,5.265
G08,2.178,2.817,1.446,2.269,5.156,2.841,4.1,3.105,10.719,8.528,4.041,6.816,2.459,4.454,5.832,1.604,4.404,2.447,7.065,11.543,4.283,4.664,3.376,2.26,2.08,7.288,20.433,5.316,2.831,5.195,5.042,6.886,5.587,5.383,3.771,3.511,3.173,1.52,3.839,2.18,3.487,2.486,5.53,4.492,1.299,4.192,2.174,4.487,9.867,3.855,2.755,8.912,1.647,6.38,2.973,0.974,10.769,6.855,1.493,5.091,3.012,4.889,1.894,3.703,6.155,3.804,4.874,3.083,16.441,3.726,3.762,2.556,2.548,7.44,1.907,4.311,4.341,2.445,4.027,1.876,3.791,5.889,4.055,3.113,2.4,5.827,3.65,7.594,9.583,4.177,3.866,2.84,3.085,2.101,2.582,2.895,3.86,5.445,4.716,6.204,2.24,10.812,4.783,4.874,6.582,10.409,3.51,4.561,14.323,2.402,5.986,7.933,5.691,5.815,6.276,3.952,4.644,3.557,1.905,2.864
G09,4.973,8.473,6.556,4.404,3.935,8.98,2.221,1.306,7.293,8.022,3.803,1.187,3.98,8.941,3.515,10.281,7.988,3.455,7.018,5.028,7.65,3.929,6.569,2.13,6.593,6.387,23.131,3.311,6.397,2.811,7.313,4.278,1.857,2.978,3.104,4.616,6.757,3.702,1.859,4.421,4.502,6.899,5.814,5.227,2.687,5.901,2.654,5.378,6.492,0.879,5.022,12.614,7.105,2.175,3.564,2.446,13.895,2.965,4.07,4.067,2.76,1.801,4.012,8.766,3.344,9.11,3.882,1.741,8.934,5.487,3.043,7.884,3.757,3.112,1.716,1.771,2.895,6.493,2.283,2.056,2.603,2.756,5.018,3.517,6.203,5.03,3.777,4.417,2.617,3.543,3.49,5.3,4.416,1.74,4.235,4.437,5.869,2.078,5.999,3.326,4.991,3.047,1.983,1.435,9.283,3.04,2.097,2.601,4.071,5.831,1.982,2.553,6.171,3.294,5.732,3.437,2.125,3.408,5.647,3.646
G10,3.939,3.714,3.518,4.503,3.704,1.858,4.606,13.302,4.736,4.839,17.108,6.171,4.659,3.081,5.89,5.295,1.718,3.426,1.632,1.598,1.958,3.207,1.902,4.855,5.716,4.018,1.042,2.272,5.678,4.962,1.956,4.171,1.672,2.191,10.451,2.07,5.631,14.208,2.772,5.104,3.602,4.029,1.874,4.571,6.492,1.78,7.575,2.179,3.907,10.425,8.42,1.557,3.0,3.813,3.02,6.508,4.157,7.442,7.621,2.699,3.04,3.556,3.183,3.432,3.523,2.417,6.371,9.428,2.574,4.679,6.73,1.648,4.703,4.373,11.508,6.287,5.147,3.071,4.6,8.734,3.445,3.744,3.975,4.57,2.702,2.267,5.155,4.012,7.261,2.642,5.252,5.472,5.809,5.478,6.471,7.139,2.032,5.415,1.373,1.911,3.045,2.302,3.328,11.647,4.041,5.999,4.498,3.116,4.378,6.143,8.89,8.312,2.035,4.293,3.041,1.988,6.395,2.627,10.369,5.34
